Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.006526,0.037399,0.001996,5,10,25.738797,14.790 31.934 
2,0.017158,0.037501,0.001996,5,10,25.666219,14.795 31.934 
3,0.026744,0.037501,0.002239,5,10,25.666219,14.795 31.934 
4,0.029224,0.040718,0.001996,5,10,23.559309,15.052 31.941 
5,0.019483,0.040718,0.001996,5,10,23.559309,15.052 31.941 
6,0.029753,0.041538,0.002005,5,10,23.074572,15.241 31.857 
7,0.028917,0.041538,0.002008,5,10,23.074572,15.241 31.857 
8,0.030351,0.041538,0.002204,5,10,23.074572,15.241 31.857 
9,0.024530,0.041538,0.002018,5,10,23.074566,15.241 31.896 
10,0.031968,0.041831,0.002020,5,10,22.905782,15.578 31.941 
11,0.032177,0.041831,0.002005,5,10,22.905782,15.578 31.941 
12,0.040064,0.041831,0.026800,5,10,22.905782,15.578 31.941 
13,0.030173,0.041831,0.002008,5,10,22.905782,15.578 31.941 
14,0.025861,0.041831,0.002005,5,10,22.905782,15.578 31.941 
15,0.025472,0.041831,0.001996,5,10,22.905782,15.578 31.941 
16,0.034083,0.048380,0.001996,5,10,19.669710,15.571 -33.595 
17,0.042457,0.048381,0.034359,5,10,19.669205,15.578 -33.595 
18,0.045043,0.176974,0.002004,5,10,4.650558,15.578 -32.940 
19,0.084110,0.176974,0.002005,5,10,4.650558,15.578 -32.940 
20,0.128880,0.176974,0.002136,5,10,4.650558,15.578 -32.940 
21,0.113007,0.176974,0.002018,5,10,4.650558,15.578 -32.940 
22,0.109820,0.176974,0.009380,5,10,4.650558,15.578 -32.940 
23,0.148640,0.177129,0.029403,5,10,4.645603,15.709 -32.940 
24,0.125646,0.177129,0.001996,5,10,4.645603,15.709 -32.940 
25,0.142995,0.180503,0.004870,5,10,4.540063,15.709 -32.913 
26,0.142004,0.180503,0.002013,5,10,4.540063,15.709 -32.913 
27,0.180444,0.193126,0.173403,5,10,4.177966,15.575 -32.769 
28,0.127553,0.193126,0.002028,5,10,4.177966,15.575 -32.769 
29,0.127387,0.193126,0.002014,5,10,4.177966,15.575 -32.769 
30,0.163920,0.193126,0.013096,5,10,4.177966,15.575 -32.769 
31,0.164968,0.193255,0.002017,5,10,4.174497,15.636 -32.769 
32,0.133886,0.193255,0.002010,5,10,4.174497,15.636 -32.769 
33,0.096311,0.193255,0.002004,5,10,4.174497,15.636 -32.769 
34,0.137721,0.193255,0.002081,5,10,4.174497,15.636 -32.769 
35,0.154510,0.193255,0.002956,5,10,4.174497,15.636 -32.769 
36,0.172859,0.193255,0.104823,5,10,4.174497,15.636 -32.769 
37,0.145669,0.193255,0.002410,5,10,4.174497,15.636 -32.769 
38,0.153300,0.193255,0.003297,5,10,4.174497,15.636 -32.769 
39,0.090791,0.193255,0.002004,5,10,4.174497,15.636 -32.769 
40,0.092198,0.194453,0.001997,5,10,4.142638,15.255 -31.563 
41,0.140371,0.194710,0.002036,5,10,4.135852,15.255 -32.166 
42,0.137647,0.199969,0.017948,5,10,4.000779,16.566 -32.219 
43,0.134589,0.201198,0.002004,5,10,3.970234,15.649 -31.773 
44,0.103951,0.201198,0.001996,5,10,3.970234,15.649 -31.773 
45,0.116373,0.201198,0.001996,5,10,3.970234,15.649 -31.773 
46,0.116386,0.201198,0.001996,5,10,3.970234,15.649 -31.773 
47,0.154413,0.201198,0.002013,5,10,3.970230,15.649 -31.774 
48,0.169432,0.201199,0.001996,5,10,3.970209,15.649 -31.781 
49,0.123159,0.201199,0.001996,5,10,3.970209,15.649 -31.781 
50,0.142252,0.201199,0.002468,5,10,3.970209,15.649 -31.781 
51,0.134665,0.201199,0.001998,5,10,3.970209,15.649 -31.781 
52,0.194233,0.201213,0.174354,5,10,3.969857,15.662 -31.773 
53,0.194831,0.201213,0.176217,5,10,3.969857,15.662 -31.773 
