Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
90,0.450809,0.500500,0.005159,5,10,0.998004,-31.967 -31.984 
91,0.400681,0.500500,0.002045,5,10,0.998004,-31.967 -31.984 
92,0.400737,0.500500,0.002024,5,10,0.998004,-31.967 -31.984 
93,0.450624,0.500500,0.002017,5,10,0.998004,-31.968 -31.984 
94,0.500068,0.500500,0.497009,5,10,0.998004,-31.968 -31.984 
95,0.400277,0.500500,0.001996,5,10,0.998004,-31.968 -31.984 
96,0.400665,0.500500,0.002005,5,10,0.998004,-31.968 -31.984 
97,0.450342,0.500500,0.004403,5,10,0.998004,-31.968 -31.984 
98,0.402488,0.500500,0.004785,5,10,0.998004,-31.968 -31.984 
99,0.449200,0.500500,0.002643,5,10,0.998004,-31.968 -31.984 
100,0.498771,0.500500,0.496289,5,10,0.998004,-31.968 -31.984 
