Generación,Fx,Var1,Var2
1,48.8335,16.8766,-17.8836
2,9.49672,16.5316,-16.9326
3,8.8682,16.5316,-16.4236
4,8.8682,16.5316,-16.4236
5,4.01446,16.2366,-31.3997
6,4.01446,16.2366,-31.3997
7,2.04005,-16.2436,-31.3967
8,2.04005,-16.2436,-31.3967
9,2.04005,-16.2436,-31.3967
10,2.04005,-16.2436,-31.3967
11,2.04005,-16.2436,-31.3967
12,2.04005,-16.2436,-31.3967
13,2.00723,-15.5016,-32.0877
14,2.00601,-16.1836,-31.5087
15,2.00601,-16.1836,-31.5087
16,2.00601,-16.1836,-31.5087
17,2.00601,-16.1836,-31.5087
18,2.00601,-16.1836,-31.5087
19,2.00601,-16.1836,-31.5087
20,2.00601,-16.1836,-31.5087
21,2.00601,-16.1836,-31.5087
22,2.00141,-16.2016,-31.5407
23,2.00141,-16.2016,-31.5407
24,2.00141,-16.2016,-31.5407
25,2.00141,-16.2016,-31.5407
26,2.00141,-16.2016,-31.5407
27,2.00105,-16.2016,-31.5437
28,2.00105,-16.2016,-31.5437
29,2.00105,-16.2016,-31.5437
30,2.00105,-16.2016,-31.5437
31,1.9921,-16.2016,-31.9427
32,1.9921,-16.2016,-31.9427
33,1.9921,-16.2016,-31.9427
34,1.9921,-16.2016,-31.9427
35,1.99205,-16.0556,-32.1667
36,1.99205,-16.0556,-32.1667
37,1.99205,-16.0556,-32.1667
38,1.99205,-16.0556,-32.1667
39,1.99205,-16.0556,-32.1667
40,1.99205,-16.0556,-32.1667
41,1.99205,-16.0556,-32.1667
42,1.99205,-15.9446,-32.1667
43,1.26164,-32.6967,-31.2707
44,1.26164,-32.6967,-31.2707
45,1.26164,-32.6967,-31.2707
46,1.11204,-32.6967,-32.2177
47,1.11204,-32.6967,-32.2177
48,1.11204,-32.6967,-32.2177
49,1.04105,-32.5857,-31.6237
50,1.03477,-32.5767,-32.2177
51,1.00789,-31.5617,-31.6237
52,1.00789,-31.5617,-31.6237
53,1.00789,-31.5617,-31.6237
54,1.00789,-31.5617,-31.6237
55,1.0008,-31.6897,-31.6477
56,1.0008,-31.6897,-31.6477
57,1.0008,-31.6897,-31.6477
58,1.0008,-31.6897,-31.6477
59,1.0008,-31.6897,-31.6477
60,1.0008,-31.6897,-31.6477
61,1.00077,-31.6877,-31.6497
62,0.999783,-31.7357,-31.6637
63,0.999783,-31.7357,-31.6637
64,0.999783,-31.7357,-31.6637
65,0.999783,-31.7357,-31.6637
66,0.999783,-31.7357,-31.6637
67,0.999783,-31.7357,-31.6637
68,0.998344,-31.7357,-31.9047
69,0.998344,-31.7357,-31.9047
70,0.998344,-31.7357,-31.9047
71,0.998344,-31.7357,-31.9047
72,0.998344,-31.7357,-31.9047
73,0.998109,-31.7937,-31.8247
74,0.998109,-31.7937,-31.8247
75,0.998109,-31.7937,-31.8247
76,0.998109,-31.7937,-31.8247
77,0.998109,-31.7937,-31.8247
78,0.998004,-31.9917,-31.9287
79,0.998004,-31.9917,-31.9287
80,0.998004,-31.9917,-31.9287
81,0.998004,-31.9917,-31.9287
82,0.998004,-31.9597,-31.9357
83,0.998004,-31.9597,-31.9357
84,0.998004,-31.9597,-31.9357
85,0.998004,-31.9597,-31.9357
86,0.998004,-31.9597,-31.9357
87,0.998004,-31.9597,-31.9357
88,0.998004,-31.9597,-31.9357
89,0.998004,-31.9597,-31.9357
90,0.998004,-31.9597,-31.9357
91,0.998004,-31.9597,-31.9357
92,0.998004,-31.9597,-31.9357
93,0.998004,-31.9597,-31.9357
94,0.998004,-31.9597,-31.9357
95,0.998004,-31.9597,-31.9357
96,0.998004,-31.9597,-31.9357
97,0.998004,-31.9597,-31.9357
98,0.998004,-31.9597,-31.9357
99,0.998004,-31.9597,-31.9357
100,0.998004,-31.9597,-31.9357
