Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.00304544,0.00723694,0.00199601,5,10,137.18,-16.5006 34.3468 
2,0.0217633,0.187865,0.00199601,5,10,4.32297,16.3926 -31.1577 
3,0.0589476,0.187865,0.0020038,5,10,4.32297,16.3926 -31.1577 
4,0.0914427,0.189622,0.00201854,5,10,4.27364,16.3926 -31.1787 
5,0.121824,0.196534,0.00200445,5,10,4.08819,16.4806 -32.6917 
6,0.0453072,0.196534,0.00199608,5,10,4.08819,16.4806 -32.6917 
7,0.0976477,0.199089,0.0021364,5,10,4.02288,16.4406 -31.3967 
8,0.0950281,0.328345,0.00214949,5,10,2.04557,-16.4236 -31.3967 
9,0.0463797,0.328345,0.00200451,5,10,2.04557,-16.4236 -31.3967 
10,0.0816917,0.33358,0.00239664,5,10,1.99778,-16.4236 -32.1657 
11,0.0784321,0.33358,0.00200407,5,10,1.99778,-16.4236 -32.1657 
12,0.149755,0.33358,0.00320345,5,10,1.99778,-16.4236 -32.1647 
13,0.102221,0.33358,0.00199602,5,10,1.99778,-16.4236 -32.1647 
14,0.0861885,0.334219,0.00199631,5,10,1.99205,-15.9656 -32.1677 
15,0.129166,0.334219,0.00200697,5,10,1.99205,-15.9656 -32.1677 
16,0.0678856,0.334219,0.00199926,5,10,1.99205,-15.9656 -32.1677 
17,0.148975,0.334219,0.00303599,5,10,1.99205,-15.9656 -32.1677 
18,0.0579519,0.334219,0.00200394,5,10,1.99205,-15.9656 -32.1677 
19,0.0927195,0.334219,0.00199606,5,10,1.99205,-15.9656 -32.1677 
20,0.109779,0.334219,0.00200561,5,10,1.99205,-15.9656 -31.8327 
21,0.121326,0.334219,0.00200849,5,10,1.99205,-15.9656 -31.8327 
22,0.129041,0.334219,0.00201096,5,10,1.99205,-15.9656 -31.8327 
23,0.0698107,0.334219,0.00241672,5,10,1.99205,-15.9656 -31.8327 
24,0.10343,0.334219,0.0201443,5,10,1.99205,-15.9656 -31.8327 
25,0.0576512,0.334219,0.00199605,5,10,1.99205,-15.9656 -31.8327 
26,0.0772234,0.334219,0.00199605,5,10,1.99205,-15.9656 -31.8327 
27,0.0959677,0.334219,0.00200381,5,10,1.99205,-15.9656 -31.8327 
28,0.0809337,0.334219,0.00199611,5,10,1.99205,-15.9656 -31.8327 
29,0.106125,0.334219,0.00199609,5,10,1.99205,-15.9656 -31.8327 
30,0.163507,0.334219,0.002011,5,10,1.99205,-16.0296 -31.8357 
