Generación,Fx,Var1,Var2
1,300.366,17.6926,-29.0027
2,36.7077,31.1697,33.5578
3,16.4466,-15.8706,15.5726
4,8.84086,15.8706,-15.8286
5,6.90336,-15.8706,-15.8296
6,1.23955,-31.9207,-32.7898
7,1.23955,-31.9207,-32.7898
8,1.23955,-31.9207,-32.7898
9,1.23955,-31.9207,-32.7898
10,1.23955,-31.9207,-32.7898
11,1.23955,-31.9207,-32.7898
12,1.23955,-31.9207,-32.7898
13,1.23955,-31.9207,-32.7898
14,1.23955,-31.9207,-32.7898
15,1.23955,-31.9207,-32.7898
16,1.23955,-31.9207,-32.7898
17,1.23955,-31.9207,-32.7898
18,1.23955,-31.9207,-32.7898
19,1.23955,-31.9207,-32.7898
20,1.23955,-31.9207,-32.7898
21,1.23955,-31.9207,-32.7898
22,1.22006,-31.9207,-32.7788
23,1.22006,-31.9207,-32.7788
24,1.22006,-31.9207,-32.7788
25,1.22006,-31.9207,-32.7788
26,1.22006,-31.9207,-32.7788
27,1.21164,-31.9207,-32.7738
28,1.21164,-31.9207,-32.7738
29,1.21164,-31.9207,-32.7738
30,1.21164,-31.9207,-32.7738
31,1.21164,-31.9207,-32.7738
32,1.21164,-31.9207,-32.7738
33,1.21164,-31.9207,-32.7738
34,1.21164,-31.9207,-32.7738
35,1.21164,-31.9207,-32.7738
36,1.21164,-31.9207,-32.7738
37,1.01719,-31.9207,-32.5177
38,1.01719,-31.9207,-32.5177
39,1.00155,-31.9207,-32.3907
40,1.00155,-31.9207,-32.3907
41,1.00155,-31.9517,-32.3907
42,1.00155,-31.9517,-32.3907
43,1.00155,-31.9517,-32.3907
44,0.99928,-31.7997,-32.3267
45,0.99928,-31.7997,-32.3267
46,0.999173,-31.7997,-32.3217
47,0.999173,-31.7997,-32.3217
48,0.999173,-31.7997,-32.3217
49,0.999173,-31.7997,-32.3217
50,0.999173,-31.7997,-32.3217
51,0.99913,-31.9597,-32.3227
52,0.99913,-31.9597,-32.3227
53,0.99913,-31.9597,-32.3227
54,0.99913,-31.9597,-32.3227
55,0.99913,-31.9597,-32.3227
56,0.99913,-31.9597,-32.3227
57,0.999029,-31.9277,-32.3177
58,0.998058,-31.9277,-32.1947
59,0.99805,-31.9277,-32.1897
60,0.99805,-31.9277,-32.1897
61,0.99805,-31.9277,-32.1897
62,0.99805,-31.9277,-32.1897
63,0.99805,-31.9277,-32.1897
64,0.99805,-31.9277,-32.1897
65,0.99805,-31.9277,-32.1897
66,0.998009,-31.9277,-31.8687
67,0.998009,-31.9277,-31.8687
68,0.998009,-31.9277,-31.8687
69,0.998009,-31.9277,-31.8687
70,0.998009,-31.9917,-31.8687
71,0.998009,-31.9917,-31.8687
72,0.998009,-31.9917,-31.8687
73,0.998008,-31.9757,-32.1247
74,0.998008,-31.9757,-32.1247
75,0.998008,-31.9757,-32.1247
76,0.998007,-31.9617,-32.1227
77,0.998005,-31.9617,-32.1017
78,0.998004,-31.9747,-32.0747
79,0.998004,-31.9747,-32.0747
80,0.998004,-31.9747,-32.0747
81,0.998004,-31.9987,-32.0737
82,0.998004,-31.9987,-32.0737
83,0.998004,-31.9987,-32.0737
84,0.998004,-31.9987,-32.0737
85,0.998004,-31.9987,-32.0737
86,0.998004,-31.9987,-32.0737
87,0.998004,-31.9987,-32.0737
88,0.998004,-31.9987,-32.0737
89,0.998004,-31.9987,-32.0417
90,0.998004,-31.9987,-32.0417
91,0.998004,-31.9987,-32.0417
92,0.998004,-31.9987,-32.0417
93,0.998004,-31.9987,-32.0417
94,0.998004,-31.9987,-32.0417
95,0.998004,-31.9987,-32.0417
96,0.998004,-31.9987,-32.0417
97,0.998004,-31.9987,-32.0417
98,0.998004,-31.9987,-32.0417
99,0.998004,-31.9697,-32.0417
100,0.998004,-31.9697,-32.0417
