Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.00754886,0.0573451,0.00199603,5,10,16.4383,-32.9678 15.2516 
2,0.0221704,0.0578902,0.00199603,5,10,16.2741,-32.9678 15.7566 
3,0.0291768,0.0604942,0.00199601,5,10,15.5305,-32.5517 15.7576 
4,0.0258586,0.0681139,0.00199612,5,10,13.6813,16.4236 0.626505 
5,0.0660977,0.14432,0.00199849,5,10,5.92904,-31.9607 -15.7586 
6,0.0710418,0.14432,0.00199611,5,10,5.92904,-31.9607 -15.7586 
7,0.102892,0.500492,0.0019961,5,10,0.998035,-31.9607 -32.1777 
8,0.0638518,0.500492,0.00199606,5,10,0.998035,-31.9607 -32.1777 
9,0.186267,0.500497,0.00201163,5,10,0.998012,-31.9607 -31.8577 
10,0.124011,0.500497,0.00293875,5,10,0.998012,-31.9607 -31.8577 
11,0.0767154,0.500497,0.00200398,5,10,0.998012,-31.9607 -31.8577 
12,0.174247,0.500497,0.00201052,5,10,0.998012,-31.9607 -31.8577 
13,0.0958974,0.500497,0.00201068,5,10,0.998012,-31.9607 -31.8577 
14,0.133739,0.500497,0.00219558,5,10,0.998012,-31.9607 -31.8577 
15,0.0899603,0.500497,0.00201169,5,10,0.998012,-31.9607 -31.8577 
16,0.18023,0.500497,0.00354044,5,10,0.998012,-31.9607 -31.8577 
17,0.167228,0.500499,0.00200946,5,10,0.998006,-31.9607 -31.8897 
18,0.17013,0.500499,0.0020148,5,10,0.998006,-31.9607 -31.8897 
19,0.124615,0.500499,0.00201728,5,10,0.998006,-31.9607 -31.8897 
20,0.146969,0.500499,0.00205398,5,10,0.998006,-31.9607 -31.8897 
21,0.235907,0.500499,0.00201004,5,10,0.998006,-32.0387 -31.8907 
22,0.254794,0.500499,0.0231416,5,10,0.998006,-32.0387 -31.8907 
23,0.133726,0.500499,0.0020102,5,10,0.998006,-32.0387 -31.8907 
24,0.166861,0.500499,0.00200412,5,10,0.998006,-32.0387 -31.8907 
25,0.213141,0.500499,0.00200846,5,10,0.998006,-32.0387 -31.8907 
26,0.0794781,0.500499,0.0020083,5,10,0.998006,-32.0387 -31.8907 
27,0.0794806,0.500499,0.0020089,5,10,0.998006,-32.0387 -31.8907 
28,0.157469,0.500499,0.00200399,5,10,0.998005,-32.0387 -32.1067 
29,0.222631,0.5005,0.00201643,5,10,0.998004,-32.0387 -31.9657 
30,0.118265,0.5005,0.00296707,5,10,0.998004,-32.0387 -31.9657 
31,0.166478,0.5005,0.00200391,5,10,0.998004,-32.0387 -31.9657 
32,0.113797,0.5005,0.00200875,5,10,0.998004,-32.0387 -31.9657 
33,0.0861279,0.5005,0.00200832,5,10,0.998004,-32.0387 -31.9657 
34,0.223261,0.5005,0.00442594,5,10,0.998004,-32.0387 -31.9657 
35,0.170266,0.5005,0.00202967,5,10,0.998004,-32.0387 -31.9657 
36,0.0862984,0.5005,0.00199708,5,10,0.998004,-32.0387 -31.9657 
37,0.0883093,0.5005,0.0020098,5,10,0.998004,-32.0387 -31.9657 
