Generación,Fx,Var1,Var2
1,494.855,9.90058,18.1126
2,492.844,-26.2977,-35.2298
3,492.844,-26.2977,-35.2298
4,441.442,-35.1088,19.7667
5,441.442,-35.1088,19.7667
6,386.473,3.39653,13.6936
7,323.982,-35.1088,17.1026
8,323.982,-35.1088,17.1026
9,6.27017,30.9487,-31.9987
10,6.27017,30.9487,-31.9987
11,2.34647,-30.9477,-31.8657
12,2.34647,-30.9477,-31.8657
13,2.34647,-30.9477,-31.8657
14,2.27162,-30.9577,-31.8067
15,2.27162,-30.9577,-31.8067
16,2.27162,-30.9577,-31.8067
17,1.0123,-31.5077,-31.7767
18,1.0123,-31.5077,-31.7767
19,1.01228,-31.5077,-31.7837
20,1.00296,-31.5877,-31.8007
21,1.00296,-31.5877,-31.8007
22,1.00296,-31.5877,-31.8007
23,1.00296,-31.5877,-31.8007
24,1.00296,-31.5877,-31.8007
25,1.00293,-31.5877,-31.8157
26,1.00293,-31.5877,-31.8157
27,1.00293,-31.5877,-31.8157
28,1.00293,-31.5877,-31.8157
29,1.00293,-31.5877,-31.8157
30,1.00215,-31.5997,-31.8087
31,1.00215,-31.5997,-31.8087
32,1.00215,-31.5997,-31.8087
33,1.00215,-31.5997,-31.8087
34,1.00215,-31.5997,-31.8087
35,1.00215,-31.5997,-31.8087
36,0.998006,-32.1077,-31.9207
37,0.998006,-32.1077,-31.9207
38,0.998006,-32.1077,-31.9207
39,0.998005,-32.1077,-32.0447
40,0.998005,-32.1077,-32.0447
41,0.998005,-32.1077,-32.0447
42,0.998005,-32.1037,-31.9557
43,0.998005,-32.1037,-31.9557
44,0.998005,-32.1037,-31.9557
45,0.998005,-32.1037,-31.9647
46,0.998005,-32.1037,-31.9647
47,0.998005,-32.1037,-31.9647
48,0.998005,-32.1037,-31.9647
49,0.998005,-32.1037,-31.9647
50,0.998005,-32.1037,-31.9647
51,0.998005,-32.1037,-31.9647
52,0.998005,-32.1037,-31.9647
53,0.998005,-32.1037,-31.9647
54,0.998005,-32.1037,-31.9647
55,0.998005,-32.1037,-31.9647
56,0.998005,-32.1037,-31.9647
57,0.998004,-32.0077,-31.9647
58,0.998004,-32.0077,-31.9647
59,0.998004,-32.0077,-31.9647
60,0.998004,-32.0077,-31.9647
61,0.998004,-32.0077,-31.9647
62,0.998004,-32.0077,-31.9647
63,0.998004,-32.0077,-31.9647
64,0.998004,-32.0077,-31.9647
65,0.998004,-32.0077,-31.9647
66,0.998004,-32.0077,-31.9647
67,0.998004,-32.0077,-31.9717
68,0.998004,-32.0077,-31.9717
69,0.998004,-32.0077,-31.9717
70,0.998004,-32.0077,-31.9717
71,0.998004,-31.9937,-31.9717
72,0.998004,-31.9937,-31.9717
73,0.998004,-31.9937,-31.9717
74,0.998004,-31.9937,-31.9717
75,0.998004,-31.9937,-31.9717
76,0.998004,-31.9937,-31.9717
77,0.998004,-31.9937,-31.9717
78,0.998004,-31.9937,-31.9717
79,0.998004,-31.9937,-31.9717
80,0.998004,-31.9937,-31.9717
81,0.998004,-31.9937,-31.9717
82,0.998004,-31.9937,-31.9717
83,0.998004,-31.9937,-31.9717
84,0.998004,-31.9937,-31.9717
85,0.998004,-31.9937,-31.9717
86,0.998004,-31.9937,-31.9717
87,0.998004,-31.9937,-31.9717
88,0.998004,-31.9937,-31.9717
89,0.998004,-31.9937,-31.9717
90,0.998004,-31.9937,-31.9717
91,0.998004,-31.9937,-31.9717
92,0.998004,-31.9937,-31.9717
93,0.998004,-31.9937,-31.9737
94,0.998004,-31.9937,-31.9737
95,0.998004,-31.9937,-31.9737
96,0.998004,-31.9937,-31.9737
97,0.998004,-31.9937,-31.9737
98,0.998004,-31.9937,-31.9737
99,0.998004,-31.9937,-31.9737
100,0.998004,-31.9937,-31.9737
