Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.00200538,0.00202491,0.00199601,5,10,492.848,-5.33354 -27.1297 
2,0.00200533,0.00203123,0.00199601,5,10,491.313,-10.4536 2.07252 
3,0.00298605,0.0117983,0.00199602,5,10,83.7581,13.8966 0.498504 
4,0.00433276,0.0148297,0.00199602,5,10,66.4324,17.9926 0.493504 
5,0.0134276,0.0628608,0.00199605,5,10,14.9082,31.1597 0.493504 
6,0.0257269,0.0825522,0.00203937,5,10,11.1136,-31.1597 -0.492504 
7,0.0448974,0.0825956,0.005475,5,10,11.1072,-31.1567 0.0195001 
8,0.0465599,0.13058,0.00244212,5,10,6.65814,-31.0477 -16.3646 
9,0.0381792,0.13058,0.00272135,5,10,6.65814,-31.0477 -16.3646 
10,0.0594256,0.13058,0.00200478,5,10,6.65814,-31.0477 -16.3646 
11,0.0602783,0.13058,0.00208352,5,10,6.65814,-31.0477 -16.3646 
12,0.0429821,0.13058,0.00199619,5,10,6.65814,-31.0477 -16.3646 
13,0.0422231,0.13058,0.00200418,5,10,6.65814,-31.0477 -16.3646 
14,0.0589895,0.13058,0.00212311,5,10,6.65814,-31.0477 -16.3646 
15,0.0639389,0.14413,0.00199608,5,10,5.93816,-32.4397 -16.3636 
16,0.0778476,0.14413,0.0434182,5,10,5.93816,-32.4397 -16.3636 
17,0.0611047,0.14413,0.00200408,5,10,5.93816,-32.4397 -16.3636 
18,0.0460179,0.14413,0.00199601,5,10,5.93816,-32.4397 -16.3636 
19,0.0528875,0.144248,0.00199608,5,10,5.9325,-32.3937 -15.8486 
20,0.04334,0.144248,0.00200521,5,10,5.9325,-32.3937 -15.8486 
21,0.053278,0.144248,0.00199615,5,10,5.9325,-32.3937 -15.8486 
22,0.0440933,0.144248,0.00199609,5,10,5.9325,-32.3937 -15.8486 
23,0.0686342,0.240866,0.00200783,5,10,3.15168,-0.745506 -32.0147 
24,0.0471418,0.240866,0.00199602,5,10,3.15168,-0.745506 -32.0147 
25,0.0677354,0.240866,0.00200417,5,10,3.15168,-0.745506 -32.0147 
26,0.0871893,0.240945,0.00199608,5,10,3.15032,-0.744506 -32.0177 
