Generación,Fx,Var1,Var2
1,137.18,-16.5006,34.3468
2,4.32297,16.3926,-31.1577
3,4.32297,16.3926,-31.1577
4,4.27364,16.3926,-31.1787
5,4.08819,16.4806,-32.6917
6,4.08819,16.4806,-32.6917
7,4.02288,16.4406,-31.3967
8,2.04557,-16.4236,-31.3967
9,2.04557,-16.4236,-31.3967
10,1.99778,-16.4236,-32.1657
11,1.99778,-16.4236,-32.1657
12,1.99778,-16.4236,-32.1647
13,1.99778,-16.4236,-32.1647
14,1.99205,-15.9656,-32.1677
15,1.99205,-15.9656,-32.1677
16,1.99205,-15.9656,-32.1677
17,1.99205,-15.9656,-32.1677
18,1.99205,-15.9656,-32.1677
19,1.99205,-15.9656,-32.1677
20,1.99205,-15.9656,-31.8327
21,1.99205,-15.9656,-31.8327
22,1.99205,-15.9656,-31.8327
23,1.99205,-15.9656,-31.8327
24,1.99205,-15.9656,-31.8327
25,1.99205,-15.9656,-31.8327
26,1.99205,-15.9656,-31.8327
27,1.99205,-15.9656,-31.8327
28,1.99205,-15.9656,-31.8327
29,1.99205,-15.9656,-31.8327
30,1.99205,-16.0296,-31.8357
31,1.99205,-16.0296,-31.8357
32,1.99205,-16.0296,-31.8357
33,1.99205,-16.0296,-31.8357
34,1.99205,-16.0296,-31.8357
35,1.99205,-16.0296,-31.8357
36,1.99205,-16.0296,-31.8357
37,1.99205,-16.0296,-31.8357
38,1.99205,-16.0296,-31.8357
39,1.99205,-16.0296,-31.8357
40,1.99205,-15.9736,-31.8367
41,1.99205,-15.9736,-31.8367
42,1.99205,-15.9736,-31.8367
43,1.99205,-15.9736,-31.8367
44,1.99203,-15.9736,-31.9077
45,1.99203,-15.9736,-31.9077
46,1.99203,-15.9736,-31.9077
47,1.99203,-15.9736,-31.9077
48,1.99203,-15.9736,-31.9077
49,1.99203,-15.9736,-31.9077
50,1.99203,-15.9736,-31.9077
51,1.99203,-15.9736,-31.9077
52,1.99203,-15.9736,-31.9077
53,1.99203,-15.9736,-31.9077
54,1.99203,-15.9736,-31.9077
55,1.00009,-32.3577,-31.9077
56,1.00009,-32.3577,-31.9077
57,1.00009,-32.3577,-32.0357
58,1.00009,-32.3577,-32.0357
59,1.00009,-32.3577,-32.0357
60,0.999736,-32.3467,-32.0927
61,0.999736,-32.3467,-32.0927
62,0.999736,-32.3467,-32.0927
63,0.999736,-32.3467,-32.0917
64,0.999736,-32.3467,-32.0917
65,0.998026,-32.1667,-32.0917
66,0.998026,-32.1667,-32.0917
67,0.998026,-32.1667,-32.0917
68,0.998026,-32.1667,-32.0917
69,0.998026,-32.1667,-32.0917
70,0.998025,-32.1667,-32.0697
71,0.998025,-32.1667,-32.0697
72,0.998025,-32.1667,-32.0697
73,0.998025,-32.1667,-32.0697
74,0.998025,-32.1667,-32.0697
75,0.998025,-32.1667,-32.0697
76,0.998025,-32.1667,-31.9307
77,0.998025,-32.1667,-31.9307
78,0.998025,-32.1667,-31.9307
79,0.998025,-32.1667,-31.9307
80,0.998025,-32.1667,-31.9307
81,0.998025,-32.1667,-31.9307
82,0.998025,-32.1667,-31.9307
83,0.998025,-32.1667,-31.9307
84,0.998025,-32.1667,-31.9307
85,0.998005,-32.0947,-31.9307
86,0.998005,-32.0947,-31.9307
87,0.998005,-32.0947,-31.9307
88,0.998005,-32.0947,-31.9307
89,0.998005,-32.0947,-31.9307
90,0.998005,-32.0947,-31.9307
91,0.998005,-32.0947,-31.9337
92,0.998005,-32.0947,-31.9337
93,0.998005,-32.0947,-31.9337
94,0.998005,-32.0947,-31.9337
95,0.998005,-32.0947,-31.9337
96,0.998004,-32.0657,-31.9337
97,0.998004,-32.0657,-31.9337
98,0.998004,-32.0657,-31.9337
99,0.998004,-32.0657,-31.9337
100,0.998004,-32.0657,-31.9337
