Generación,Fx,Var1,Var2
1,8.94881,-17.1326,-15.7006
2,8.94881,-17.1326,-15.7006
3,8.94812,-17.1326,-16.0196
4,8.94812,-17.1326,-16.0196
5,3.74545,-17.0076,-31.0517
6,1.00184,-32.1437,-32.3957
7,1.00167,-32.1437,-32.3927
8,1.00167,-32.1437,-32.3927
9,1.00167,-32.1437,-32.3927
10,1.00167,-32.1437,-32.3927
11,1.00167,-32.1437,-32.3927
12,1.00167,-32.1437,-32.3927
13,1.00167,-32.1437,-32.3927
14,1.00167,-32.1437,-32.3927
15,1.00167,-32.1437,-32.3927
16,1.00167,-32.1437,-32.3927
17,1.00167,-32.1437,-32.3927
18,1.00167,-32.1437,-32.3927
19,1.00167,-32.1437,-32.3927
20,1.00167,-32.1437,-32.3927
21,1.00167,-32.1437,-32.3927
22,1.00082,-32.1437,-32.3757
23,1.00082,-32.1437,-32.3757
24,1.00081,-31.8717,-32.3757
25,1.00081,-31.8717,-32.3757
26,1.00068,-32.1277,-32.3727
27,1.00068,-32.1277,-32.3727
28,1.00068,-32.1277,-32.3727
29,1.00068,-32.0677,-32.3727
30,1.00068,-32.0677,-32.3727
31,1.00068,-32.0677,-32.3727
32,1.00068,-32.0677,-32.3727
33,1.00068,-32.0677,-32.3727
34,0.998006,-32.0677,-31.8847
35,0.998006,-32.0677,-31.8847
36,0.998004,-32.0677,-31.9167
37,0.998004,-32.0677,-32.0357
38,0.998004,-32.0677,-32.0357
39,0.998004,-32.0677,-32.0357
40,0.998004,-32.0677,-32.0357
41,0.998004,-32.0677,-32.0357
42,0.998004,-32.0677,-32.0357
43,0.998004,-32.0677,-32.0357
44,0.998004,-32.0677,-32.0357
45,0.998004,-32.0677,-32.0357
46,0.998004,-32.0677,-32.0357
47,0.998004,-32.0677,-32.0287
48,0.998004,-32.0677,-32.0287
49,0.998004,-32.0677,-32.0287
50,0.998004,-32.0677,-32.0287
51,0.998004,-32.0677,-32.0287
52,0.998004,-32.0677,-32.0287
53,0.998004,-32.0677,-32.0287
54,0.998004,-32.0677,-32.0287
55,0.998004,-32.0677,-32.0287
56,0.998004,-32.0677,-32.0287
57,0.998004,-32.0677,-32.0287
58,0.998004,-32.0677,-32.0287
59,0.998004,-32.0677,-32.0287
60,0.998004,-32.0677,-32.0247
61,0.998004,-32.0677,-31.9877
62,0.998004,-32.0677,-31.9877
63,0.998004,-32.0677,-31.9877
64,0.998004,-32.0677,-31.9877
65,0.998004,-32.0627,-31.9847
66,0.998004,-32.0627,-31.9847
67,0.998004,-32.0627,-31.9847
68,0.998004,-32.0627,-31.9847
69,0.998004,-32.0627,-31.9847
70,0.998004,-32.0627,-31.9847
71,0.998004,-32.0627,-31.9847
72,0.998004,-32.0627,-31.9847
73,0.998004,-32.0627,-31.9847
74,0.998004,-32.0627,-31.9847
75,0.998004,-32.0627,-31.9847
76,0.998004,-32.0497,-31.9997
77,0.998004,-32.0487,-31.9857
78,0.998004,-32.0487,-31.9857
79,0.998004,-32.0487,-31.9857
80,0.998004,-32.0487,-31.9857
81,0.998004,-32.0487,-31.9857
82,0.998004,-32.0487,-31.9857
83,0.998004,-32.0487,-31.9857
84,0.998004,-32.0487,-31.9857
85,0.998004,-32.0407,-31.9867
86,0.998004,-32.0407,-31.9867
87,0.998004,-32.0407,-31.9867
88,0.998004,-32.0407,-31.9867
89,0.998004,-32.0407,-31.9867
90,0.998004,-32.0407,-31.9867
91,0.998004,-32.0407,-31.9867
92,0.998004,-32.0407,-31.9867
93,0.998004,-32.0407,-31.9867
94,0.998004,-32.0407,-31.9867
95,0.998004,-32.0407,-31.9867
96,0.998004,-32.0407,-31.9867
97,0.998004,-32.0407,-31.9867
98,0.998004,-32.0407,-31.9867
99,0.998004,-32.0407,-31.9867
100,0.998004,-32.0407,-31.9867
