Generación,Fx,Var1,Var2
1,493.214,10.2086,-18.7126
2,371.738,19.2896,-34.3728
3,371.738,19.2896,-34.3728
4,371.738,19.2896,-34.3728
5,162.794,30.1137,34.3568
6,8.52503,30.7587,-32.4987
7,4.61849,-30.7587,-32.3987
8,4.61849,-30.7587,-32.3987
9,1.01303,-31.7267,-32.4947
10,1.01303,-31.7267,-32.4947
11,1.01303,-31.7267,-32.4947
12,1.01285,-31.7267,-32.4937
13,1.01285,-31.7267,-32.4937
14,1.01285,-31.7267,-32.4937
15,0.998419,-31.7267,-32.0457
16,0.998419,-31.7267,-32.0457
17,0.998419,-31.7267,-32.0457
18,0.998419,-31.7267,-32.0457
19,0.998419,-31.7267,-32.0457
20,0.998419,-31.7267,-32.0457
21,0.998419,-31.7267,-32.0457
22,0.998191,-31.7607,-32.0137
23,0.998191,-31.7607,-32.0137
24,0.998191,-31.7607,-32.0137
25,0.998191,-31.7607,-32.0137
26,0.998191,-31.7607,-32.0137
27,0.998191,-31.7607,-32.0017
28,0.998132,-32.2247,-32.0587
29,0.998132,-32.2247,-32.0587
30,0.998132,-32.2247,-32.0587
31,0.998132,-32.2247,-32.0587
32,0.998132,-32.2247,-32.0587
33,0.998132,-32.2247,-32.0587
34,0.998004,-32.0327,-32.0617
35,0.998004,-32.0327,-32.0617
36,0.998004,-32.0327,-32.0617
37,0.998004,-32.0327,-32.0617
38,0.998004,-32.0327,-32.0617
39,0.998004,-32.0327,-32.0617
40,0.998004,-32.0327,-32.0617
41,0.998004,-32.0327,-32.0617
42,0.998004,-32.0327,-32.0617
43,0.998004,-32.0327,-32.0617
44,0.998004,-32.0327,-32.0617
45,0.998004,-32.0327,-32.0617
46,0.998004,-32.0327,-32.0617
47,0.998004,-32.0327,-32.0617
48,0.998004,-32.0327,-32.0617
49,0.998004,-32.0327,-32.0617
50,0.998004,-32.0327,-32.0617
51,0.998004,-32.0187,-32.0617
52,0.998004,-32.0187,-32.0617
53,0.998004,-32.0187,-32.0617
54,0.998004,-32.0187,-32.0617
55,0.998004,-32.0187,-32.0617
56,0.998004,-32.0187,-32.0617
57,0.998004,-32.0187,-32.0617
58,0.998004,-32.0187,-32.0617
59,0.998004,-32.0187,-32.0617
60,0.998004,-31.9867,-32.0497
61,0.998004,-31.9867,-32.0497
62,0.998004,-31.9867,-32.0497
63,0.998004,-31.9807,-32.0467
64,0.998004,-31.9807,-32.0467
65,0.998004,-31.9807,-32.0467
66,0.998004,-31.9807,-32.0467
67,0.998004,-31.9807,-32.0467
68,0.998004,-31.9807,-32.0467
69,0.998004,-31.9807,-32.0467
70,0.998004,-31.9807,-32.0467
71,0.998004,-31.9807,-32.0467
72,0.998004,-31.9807,-32.0467
73,0.998004,-31.9807,-32.0467
74,0.998004,-31.9807,-32.0467
75,0.998004,-31.9807,-32.0467
76,0.998004,-31.9807,-32.0467
77,0.998004,-31.9807,-32.0467
78,0.998004,-31.9807,-32.0467
79,0.998004,-31.9877,-32.0337
80,0.998004,-31.9877,-32.0337
81,0.998004,-31.9877,-32.0337
82,0.998004,-31.9877,-32.0337
83,0.998004,-31.9877,-32.0337
84,0.998004,-31.9877,-32.0337
85,0.998004,-31.9877,-32.0337
86,0.998004,-31.9877,-32.0337
87,0.998004,-31.9877,-32.0337
88,0.998004,-31.9877,-32.0337
89,0.998004,-31.9877,-32.0337
90,0.998004,-31.9807,-32.0337
91,0.998004,-31.9807,-32.0337
92,0.998004,-31.9807,-32.0337
93,0.998004,-31.9807,-32.0337
94,0.998004,-31.9807,-32.0337
95,0.998004,-31.9807,-32.0337
96,0.998004,-31.9807,-32.0337
97,0.998004,-31.9807,-32.0337
98,0.998004,-31.9807,-32.0337
99,0.998004,-31.9807,-32.0337
100,0.998004,-31.9807,-32.0337
