Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.00202363,0.00212251,0.00199606,5,10,470.141,36.4168 -34.7648 
2,0.00202749,0.00212251,0.00199603,5,10,470.141,36.4168 -34.7648 
3,0.00225018,0.00438532,0.00199603,5,10,227.033,-13.2926 -14.4276 
4,0.00271565,0.00438532,0.00199602,5,10,227.033,-13.2926 -14.4276 
5,0.00303154,0.00705155,0.00199602,5,10,140.813,-16.3766 -18.3956 
6,0.0164262,0.112595,0.00199601,5,10,7.88138,-0.120501 -16.4436 
7,0.0716299,0.243468,0.00199606,5,10,3.10732,-0.120501 -32.7087 
8,0.0503535,0.243468,0.00201081,5,10,3.10732,-0.120501 -32.7087 
9,0.0504628,0.243468,0.00199609,5,10,3.10732,-0.120501 -32.7087 
10,0.132548,0.43432,0.00211983,5,10,1.30245,-32.3287 -31.1797 
11,0.119243,0.43432,0.00200505,5,10,1.30245,-32.3287 -31.1797 
12,0.10688,0.43432,0.00200381,5,10,1.30245,-32.3287 -31.1797 
13,0.107102,0.468913,0.00201312,5,10,1.13259,-32.3287 -31.2847 
14,0.114343,0.468913,0.0020066,5,10,1.13259,-32.3287 -31.2847 
15,0.180504,0.468913,0.00200876,5,10,1.13259,-32.3287 -31.2847 
16,0.179352,0.500391,0.00201202,5,10,0.998436,-32.2007 -32.2677 
17,0.0699714,0.500391,0.00200563,5,10,0.998436,-32.2007 -32.2677 
18,0.13463,0.500391,0.00215431,5,10,0.998436,-32.2007 -32.2677 
19,0.126752,0.500391,0.00199903,5,10,0.998436,-32.2007 -32.2677 
20,0.210678,0.500391,0.00200714,5,10,0.998436,-32.2007 -32.2677 
21,0.0601701,0.500391,0.00200409,5,10,0.998436,-32.2007 -32.2677 
22,0.183791,0.500391,0.0378685,5,10,0.998436,-32.2007 -32.2677 
23,0.136012,0.500411,0.0020197,5,10,0.998356,-32.2017 -32.2567 
24,0.365777,0.500411,0.0400552,5,10,0.998356,-32.2017 -32.2567 
25,0.0945681,0.500411,0.00200667,5,10,0.998356,-32.2017 -32.2567 
26,0.151801,0.500422,0.013828,5,10,0.998313,-32.2017 -32.2497 
