Generación,Media,Mejor,Peor,Cruzas,Mutaciones,Mejor_FX,Variables
1,0.00200209,0.00202341,0.00199601,5,10,493.214,10.2086 -18.7126 
2,0.00207331,0.00268285,0.00199601,5,10,371.738,19.2896 -34.3728 
3,0.00207647,0.00268285,0.00199604,5,10,371.738,19.2896 -34.3728 
4,0.00214503,0.00268285,0.00199606,5,10,371.738,19.2896 -34.3728 
5,0.0024811,0.00610523,0.00199601,5,10,162.794,30.1137 34.3568 
6,0.0132682,0.104987,0.00199604,5,10,8.52503,30.7587 -32.4987 
7,0.0511245,0.177984,0.00200449,5,10,4.61849,-30.7587 -32.3987 
8,0.0516714,0.177984,0.00203629,5,10,4.61849,-30.7587 -32.3987 
9,0.122247,0.496765,0.00199608,5,10,1.01303,-31.7267 -32.4947 
10,0.13813,0.496765,0.0213442,5,10,1.01303,-31.7267 -32.4947 
11,0.0765402,0.496765,0.00205091,5,10,1.01303,-31.7267 -32.4947 
12,0.161115,0.496808,0.00199606,5,10,1.01285,-31.7267 -32.4937 
13,0.161303,0.496808,0.00200735,5,10,1.01285,-31.7267 -32.4937 
14,0.180847,0.496808,0.00321784,5,10,1.01285,-31.7267 -32.4937 
15,0.328397,0.500396,0.00200628,5,10,0.998419,-31.7267 -32.0457 
16,0.16054,0.500396,0.00213337,5,10,0.998419,-31.7267 -32.0457 
17,0.117253,0.500396,0.00200593,5,10,0.998419,-31.7267 -32.0457 
18,0.156103,0.500396,0.0141453,5,10,0.998419,-31.7267 -32.0457 
19,0.0982913,0.500396,0.00201451,5,10,0.998419,-31.7267 -32.0457 
20,0.144885,0.500396,0.00200711,5,10,0.998419,-31.7267 -32.0457 
21,0.134038,0.500396,0.00200927,5,10,0.998419,-31.7267 -32.0457 
22,0.188447,0.500453,0.0080396,5,10,0.998191,-31.7607 -32.0137 
23,0.11891,0.500453,0.00201613,5,10,0.998191,-31.7607 -32.0137 
24,0.0966391,0.500453,0.00321054,5,10,0.998191,-31.7607 -32.0137 
25,0.178866,0.500453,0.00200392,5,10,0.998191,-31.7607 -32.0137 
26,0.196994,0.500453,0.0108197,5,10,0.998191,-31.7607 -32.0137 
27,0.205889,0.500453,0.0019961,5,10,0.998191,-31.7607 -32.0017 
28,0.239353,0.500467,0.002008,5,10,0.998132,-32.2247 -32.0587 
29,0.135215,0.500467,0.00199619,5,10,0.998132,-32.2247 -32.0587 
30,0.123195,0.500467,0.00200378,5,10,0.998132,-32.2247 -32.0587 
31,0.081923,0.500467,0.00199601,5,10,0.998132,-32.2247 -32.0587 
32,0.151112,0.500467,0.00200687,5,10,0.998132,-32.2247 -32.0587 
33,0.0856099,0.500467,0.00202836,5,10,0.998132,-32.2247 -32.0587 
34,0.186886,0.5005,0.00199885,5,10,0.998004,-32.0327 -32.0617 
35,0.258444,0.5005,0.00200878,5,10,0.998004,-32.0327 -32.0617 
36,0.233733,0.5005,0.00201689,5,10,0.998004,-32.0327 -32.0617 
37,0.187785,0.5005,0.00200875,5,10,0.998004,-32.0327 -32.0617 
38,0.139527,0.5005,0.00200764,5,10,0.998004,-32.0327 -32.0617 
39,0.0707148,0.5005,0.00200376,5,10,0.998004,-32.0327 -32.0617 
40,0.141738,0.5005,0.0020072,5,10,0.998004,-32.0327 -32.0617 
41,0.146841,0.5005,0.0019992,5,10,0.998004,-32.0327 -32.0617 
42,0.225815,0.5005,0.00509348,5,10,0.998004,-32.0327 -32.0617 
43,0.207257,0.5005,0.00199607,5,10,0.998004,-32.0327 -32.0617 
44,0.20142,0.5005,0.00199609,5,10,0.998004,-32.0327 -32.0617 
45,0.163692,0.5005,0.00221705,5,10,0.998004,-32.0327 -32.0617 
46,0.142466,0.5005,0.00200511,5,10,0.998004,-32.0327 -32.0617 
47,0.188352,0.5005,0.00326169,5,10,0.998004,-32.0327 -32.0617 
48,0.183461,0.5005,0.00544292,5,10,0.998004,-32.0327 -32.0617 
49,0.262887,0.5005,0.00232296,5,10,0.998004,-32.0327 -32.0617 
50,0.147652,0.5005,0.00231636,5,10,0.998004,-32.0327 -32.0617 
51,0.188018,0.5005,0.0022266,5,10,0.998004,-32.0187 -32.0617 
52,0.084156,0.5005,0.00217948,5,10,0.998004,-32.0187 -32.0617 
53,0.145781,0.5005,0.00216826,5,10,0.998004,-32.0187 -32.0617 
54,0.0843556,0.5005,0.00200968,5,10,0.998004,-32.0187 -32.0617 
55,0.138013,0.5005,0.00200781,5,10,0.998004,-32.0187 -32.0617 
56,0.188703,0.5005,0.0310703,5,10,0.998004,-32.0187 -32.0617 
57,0.179171,0.5005,0.00199944,5,10,0.998004,-32.0187 -32.0617 
58,0.171074,0.5005,0.0020053,5,10,0.998004,-32.0187 -32.0617 
59,0.18765,0.5005,0.00365588,5,10,0.998004,-32.0187 -32.0617 
60,0.160729,0.5005,0.00200857,5,10,0.998004,-31.9867 -32.0497 
61,0.123362,0.5005,0.00200379,5,10,0.998004,-31.9867 -32.0497 
62,0.0839142,0.5005,0.00396376,5,10,0.998004,-31.9867 -32.0497 
63,0.120064,0.5005,0.00217578,5,10,0.998004,-31.9807 -32.0467 
