Generación,Fx,Var1,Var2
1,492.252685,-28.263,26.414
2,434.355031,14.157,-35.852
3,434.355031,14.157,-35.852
4,434.355031,14.157,-35.852
5,378.819663,13.633,3.334
6,378.819663,13.633,3.334
7,312.366163,13.643,2.941
8,312.366163,13.643,2.941
9,312.366163,13.643,2.941
10,290.455892,13.722,29.156
11,290.455892,13.722,29.156
12,130.596318,13.722,30.466
13,130.596318,13.722,30.466
14,25.272914,14.954,33.046
15,25.272914,14.954,33.046
16,25.272914,14.954,33.046
17,25.272914,14.954,33.046
18,23.876582,14.997,31.379
19,23.876582,14.997,31.379
20,23.876582,14.997,31.379
21,23.876582,14.997,31.379
22,23.876582,14.997,31.379
23,23.876582,14.997,31.379
24,22.954618,15.653,31.379
25,22.954618,15.653,31.379
26,22.928587,15.657,31.445
27,22.927120,15.657,31.451
28,22.927120,15.657,31.451
29,22.927120,15.657,31.451
30,22.927120,15.657,31.451
31,22.927120,15.657,31.451
32,22.927120,15.657,31.451
33,22.927120,15.657,31.451
34,22.927120,15.657,31.451
35,22.927120,15.657,31.451
36,22.927120,15.657,31.451
37,22.927120,15.657,31.451
38,22.927120,15.657,31.451
39,22.927120,15.657,31.451
40,22.927053,15.659,31.451
41,22.926347,15.696,31.451
42,22.926347,15.696,31.451
43,22.926347,15.696,31.451
44,22.926347,15.696,31.451
45,22.926347,15.696,31.451
46,22.926347,15.696,31.451
47,22.925991,15.696,31.452
48,22.925991,15.696,31.452
49,22.925991,15.696,31.452
50,22.925991,15.696,31.452
51,22.925991,15.696,31.452
52,22.925991,15.696,31.452
53,22.925991,15.696,31.452
54,22.925991,15.696,31.452
55,22.925991,15.696,31.452
56,22.925991,15.696,31.452
57,22.925991,15.696,31.452
58,22.925991,15.696,31.452
59,22.925991,15.696,31.452
60,22.925991,15.696,31.452
61,22.901557,15.695,32.241
62,22.901557,15.695,32.241
63,22.901557,15.695,32.241
64,22.901557,15.695,32.241
65,22.901557,15.695,32.241
66,22.901557,15.695,32.241
67,22.901506,15.695,32.228
68,22.901506,15.695,32.228
69,22.901377,15.695,32.097
70,22.901377,15.695,32.097
71,22.901377,15.695,32.097
72,22.901069,15.721,32.097
73,22.901069,15.721,32.097
74,22.901069,15.721,32.097
75,22.901069,15.721,32.097
76,10.063469,15.417,-33.357
77,10.026699,15.679,-33.357
78,10.026699,15.679,-33.357
79,10.026699,15.679,-33.357
80,4.007016,15.417,-32.046
81,4.007016,15.417,-32.046
82,3.993754,15.456,-31.915
83,3.973128,15.587,-32.046
84,3.973036,15.588,-31.954
85,3.972946,15.590,-31.902
86,3.972946,15.590,-31.902
87,3.972946,15.590,-31.902
88,3.972682,15.594,-32.046
89,3.972682,15.594,-32.046
90,3.972682,15.594,-32.041
91,3.972682,15.594,-32.041
92,3.972682,15.594,-32.041
93,3.972682,15.594,-32.041
94,3.972513,15.596,-32.046
95,3.972513,15.596,-32.046
96,3.972513,15.596,-32.046
97,3.968679,15.725,-32.072
98,3.968679,15.725,-32.072
99,3.968679,15.725,-32.072
100,3.968679,15.725,-32.072
