Generación,Fx,Var1,Var2
1,422.188672,-35.637,2.701
2,228.142055,-30.402,2.705
3,228.142055,-30.402,2.705
4,132.340240,-34.340,16.009
5,10.826403,-31.364,0.018
6,10.826403,-31.364,0.018
7,10.826403,-31.364,0.018
8,10.826403,-31.364,0.018
9,10.818986,-31.377,0.149
10,10.818986,-31.377,0.149
11,10.787999,-31.456,0.018
12,10.787999,-31.456,0.018
13,10.787999,-31.456,0.018
14,10.787999,-31.456,0.021
15,10.787999,-31.456,0.021
16,10.787999,-31.456,0.021
17,10.787999,-31.456,0.021
18,10.787999,-31.456,0.021
19,10.787999,-31.456,0.021
20,10.787999,-31.456,0.021
21,10.787999,-31.456,0.021
22,10.787999,-31.456,0.024
23,10.787999,-31.456,0.024
24,10.787643,-31.457,0.024
25,10.787643,-31.457,0.024
26,10.787643,-31.457,0.024
27,10.787643,-31.457,0.024
28,10.787643,-31.457,0.024
29,10.787643,-31.457,0.024
30,10.787643,-31.457,0.024
31,6.451305,-31.457,-16.894
32,6.451305,-31.457,-16.894
33,6.451305,-31.457,-16.894
34,6.421469,-31.457,-16.885
35,6.421469,-31.457,-16.885
36,6.173290,-31.457,-16.780
37,5.953902,-31.457,-16.219
38,5.953902,-31.457,-16.219
39,5.953795,-31.457,-16.088
40,5.953795,-31.457,-16.088
41,5.953795,-31.457,-16.088
42,5.953795,-31.457,-16.088
43,5.953794,-31.457,-16.048
44,5.953794,-31.457,-16.048
45,5.953794,-31.457,-16.048
46,5.953794,-31.457,-16.048
47,5.953794,-31.457,-16.048
48,5.953794,-31.457,-16.048
49,5.953794,-31.457,-16.048
50,5.953794,-31.457,-16.048
51,5.953794,-31.457,-16.048
52,5.953794,-31.457,-16.048
53,5.953794,-31.457,-16.048
54,5.953794,-31.457,-15.996
55,5.953794,-31.457,-15.996
56,5.953794,-31.457,-15.996
57,5.953794,-31.457,-15.996
58,5.953794,-31.457,-15.996
59,5.953794,-31.457,-15.996
60,5.953794,-31.457,-15.996
61,5.953794,-31.457,-15.996
62,5.953794,-31.457,-15.996
63,5.953794,-31.457,-15.996
64,5.953794,-31.457,-15.996
65,5.953794,-31.457,-15.996
66,5.953794,-31.457,-15.996
67,5.953794,-31.457,-15.996
68,5.953794,-31.457,-15.996
69,5.953794,-31.457,-15.996
70,5.953794,-31.457,-15.996
71,5.953794,-31.457,-15.996
72,5.953794,-31.457,-15.996
73,5.953794,-31.457,-15.996
74,5.953794,-31.457,-15.996
75,5.953794,-31.457,-15.996
76,5.953794,-31.457,-15.992
77,5.953794,-31.457,-15.992
78,5.953794,-31.457,-15.992
79,5.953794,-31.457,-15.992
80,5.953794,-31.457,-15.992
81,5.953794,-31.457,-15.992
82,5.953794,-31.457,-15.992
83,5.953794,-31.457,-15.992
84,5.953794,-31.457,-15.992
85,5.953794,-31.457,-15.992
86,5.953794,-31.457,-15.992
87,5.953794,-31.457,-15.992
88,5.953794,-31.457,-15.992
89,5.953794,-31.457,-15.992
90,5.953794,-31.457,-15.992
91,5.953794,-31.457,-15.992
92,5.953794,-31.457,-15.992
93,5.953794,-31.457,-15.992
94,5.953794,-31.457,-15.992
95,5.953794,-31.457,-15.992
96,5.953794,-31.457,-15.992
97,5.953794,-31.457,-15.992
98,5.953794,-31.457,-15.992
99,5.953794,-31.457,-15.992
100,5.953794,-31.457,-15.992
